date,activity_time,time_hour,time_minutes,distance_km
25/03/2021,21:20:00,0,6,1.05
01/08/2022,08:12:00,0,8,1.09
20/06/2020,16:26:00,0,7,1.12
14/11/2022,10:05:00,0,7,1.23
03/05/2021,20:35:00,0,11,1.66
14/08/2020,06:43:00,0,9,1.7
24/11/2020,20:01:00,0,11,1.71
04/09/2020,19:10:00,0,10,1.76
13/08/2020,06:31:00,0,11,1.81
14/09/2020,08:38:00,0,10,1.81
20/06/2020,16:39:00,0,8,1.89
12/07/2020,06:45:00,0,12,1.97
30/08/2022,09:36:00,0,14,2.03
18/10/2020,20:07:00,0,14,2.18
17/08/2020,06:59:00,0,14,2.55
05/05/2021,05:29:00,0,17,2.6
06/09/2020,21:00:00,0,16,2.67
25/07/2020,07:33:00,0,16,2.76
26/03/2022,06:48:00,0,21,2.79
18/08/2020,06:41:00,0,16,2.8
13/07/2022,19:55:00,0,23,2.93
28/02/2021,21:03:00,0,22,2.99
23/06/2022,19:38:00,0,20,3.04
14/09/2020,08:13:00,0,19,3.05
22/07/2021,06:17:00,0,19,3.08
23/07/2020,21:15:00,0,18,3.27
25/03/2021,20:45:00,0,33,3.3
10/07/2022,07:10:00,0,22,3.5
22/06/2020,19:00:00,0,22,3.62
24/06/2020,19:15:00,0,21,3.75
22/07/2020,08:13:00,0,21,3.95
18/07/2020,18:39:00,0,24,3.98
19/08/2020,06:49:00,0,23,4.03
04/10/2020,19:40:00,0,26,4.15
27/01/2021,07:40:00,0,32,4.42
25/08/2021,13:22:00,0,32,4.55
16/08/2022,16:50:00,0,28,4.84
13/11/2022,20:41:00,0,39,4.85
02/11/2020,13:21:00,0,34,4.88
21/07/2020,18:45:00,0,27,5
28/07/2022,20:26:00,0,40,5.09
11/11/2022,22:07:00,0,34,5.09
05/11/2022,21:50:00,0,31,5.14
11/08/2020,07:49:00,0,30,5.23
16/09/2020,19:31:00,0,31,5.33
23/02/2021,22:25:00,0,36,5.58
07/07/2020,19:30:00,0,59,5.65
02/02/2021,09:04:00,0,44,5.91
21/03/2022,14:31:00,0,37,6.06
04/09/2022,16:53:00,0,36,6.21
04/08/2022,08:20:00,0,40,6.28
15/10/2021,07:54:00,0,36,6.36
25/09/2022,08:09:00,0,41,6.46
10/08/2022,07:50:00,0,44,6.47
13/10/2021,17:04:00,0,44,6.63
24/08/2020,07:29:00,1,7,6.78
04/01/2021,21:01:00,0,48,7.12
07/08/2022,08:58:00,0,48,7.53
06/11/2022,09:36:00,0,45,7.6
19/07/2020,19:37:00,0,54,7.82
15/10/2021,12:36:00,0,53,7.83
06/11/2021,20:55:00,1,3,8.44
25/08/2020,19:42:00,0,55,8.68
23/10/2021,19:39:00,1,14,9.61
21/06/2020,19:05:00,1,1,9.88
10/06/2020,16:47:00,1,11,9.94
11/03/2022,21:47:00,1,1,10.02
12/10/2020,21:17:00,0,57,10.04
26/04/2022,20:41:00,1,3,10.04
26/09/2020,19:05:00,1,1,10.05
30/09/2020,20:56:00,1,2,10.06
08/03/2021,20:54:00,1,6,10.09
12/05/2021,07:49:00,1,8,10.1
25/09/2021,18:56:00,1,9,10.11
19/03/2021,20:37:00,1,5,10.13
07/11/2020,21:05:00,1,9,10.48
18/11/2020,20:27:00,1,5,10.55
10/09/2020,19:24:00,1,2,10.58
27/08/2020,19:41:00,1,3,10.59
24/10/2021,19:14:00,1,13,10.74
06/05/2021,20:03:00,1,37,10.78
11/01/2021,21:10:00,1,15,10.9
27/08/2021,14:35:00,1,22,10.92
05/04/2021,19:39:00,1,12,11.06
23/10/2020,21:27:00,1,12,11.54
25/05/2022,20:37:00,1,15,11.75
12/11/2021,21:48:00,1,16,11.99
01/04/2022,19:58:00,1,17,12.96
17/10/2021,19:32:00,1,25,13.06
02/04/2022,19:51:00,1,21,13.23
10/05/2021,07:45:00,1,27,13.38
07/05/2021,19:40:00,1,36,13.47
16/02/2021,21:14:00,1,35,13.61
28/10/2021,07:19:00,1,36,13.72
08/12/2020,21:13:00,1,39,15.04
04/02/2022,20:10:00,1,38,15.08
21/11/2021,20:29:00,2,0,20.03
